code,model,plot,zone,batch,block,contractor,unitType,typology,actual,planned,variance,band,label,color
TH3-1979,TH3,1979,1B,8,43,SARH,Townhouse,TH3,21.7,14.9,6.8,lt35,<M35,#93C5FD
TH3-1881,TH3,1881,1B,7,39,SARH,Townhouse,TH3,20.4,22.8,-2.4,lt35,<M35,#93C5FD
TH3-1975,TH3,1975,1B,8,43,SARH,Townhouse,TH3,20.6,14.9,5.7,lt35,<M35,#93C5FD
TH3-1980,TH3,1980,1B,8,43,SARH,Townhouse,TH3,21.7,14.9,6.8,lt35,<M35,#93C5FD
TH3-1945,TH3,1945,1B,9,44,SARH,Townhouse,TH3,25.9,21.6,4.3,lt35,<M35,#93C5FD
TH3-1904,TH3,1904,1B,9,44,SARH,Townhouse,TH3,20,21.6,-1.6,lt35,<M35,#93C5FD
TH3-1625,TH3,1625,1B,12,64,SARH,Townhouse,TH3,12.5,3.6,8.9,lt35,<M35,#93C5FD
TH3-1639,TH3,1639,1B,12,64,SARH,Townhouse,TH3,14.2,3.6,10.6,lt35,<M35,#93C5FD
TH3-1958,TH3,1958,1B,8,43,SARH,Townhouse,TH3,21.9,14.9,7,lt35,<M35,#93C5FD
TH3-1976,TH3,1976,1B,8,43,SARH,Townhouse,TH3,19.9,14.9,5,lt35,<M35,#93C5FD
TH3-1941,TH3,1941,1B,9,44,SARH,Townhouse,TH3,26.7,21.6,5.1,lt35,<M35,#93C5FD
TH3-1880,TH3,1880,1B,7,39,SARH,Townhouse,TH3,20.4,22.8,-2.4,lt35,<M35,#93C5FD
TH3-1954,TH3,1954,1B,8,43,SARH,Townhouse,TH3,23.8,14.9,8.9,lt35,<M35,#93C5FD
TH3-1905,TH3,1905,1B,9,44,SARH,Townhouse,TH3,20,21.6,-1.6,lt35,<M35,#93C5FD
TH3-1626,TH3,1626,1B,12,64,SARH,Townhouse,TH3,12.5,3.6,8.9,lt35,<M35,#93C5FD
TH1-1847,TH1,1847,1B,7,38,SARH,Townhouse,TH1,25.8,21.4,4.4,lt35,<M35,#93C5FD
TH1-1848,TH1,1848,1B,7,38,SARH,Townhouse,TH1,25.6,21.4,4.2,lt35,<M35,#93C5FD
TH1-1860,TH1,1860,1B,7,38,SARH,Townhouse,TH1-IM,31.3,21.4,9.9,lt35,<M35,#93C5FD
TH1-1855,TH1,1855,1B,7,38,SARH,Townhouse,TH1,30.4,21.4,9,lt35,<M35,#93C5FD
TH1-1859,TH1,1859,1B,7,38,SARH,Townhouse,TH1-IM,31.4,21.4,10,lt35,<M35,#93C5FD
TH1-1856,TH1,1856,1B,7,38,SARH,Townhouse,TH1,31.3,21.4,9.9,lt35,<M35,#93C5FD
DT1-1566,DT1,1566,1B,11,55,SARH,Duplex Villa,DT1,15,20.6,-5.6,lt35,<M35,#93C5FD
DT1-1982,DT1,1982,1B,8,43,SARH,Duplex Villa,DT1,13.3,11.5,1.8,lt35,<M35,#93C5FD
DT1-1711,DT1,1711,1B,10,52,SARH,Duplex Villa,DT1,14.9,16.9,-2,lt35,<M35,#93C5FD
TH1-1658,TH1,1658,1B,12,62,SARH,Townhouse,TH1,17.1,13.4,3.7,lt35,<M35,#93C5FD
DT1-1587,DT1,1587,1B,12,63,SARH,Duplex Villa,DT1,13.9,3.7,10.2,lt35,<M35,#93C5FD
DT1-1590,DT1,1590,1B,12,63,SARH,Duplex Villa,DT1,13.9,3.7,10.2,lt35,<M35,#93C5FD
DT1-1589,DT1,1589,1B,12,63,SARH,Duplex Villa,DT1,14,3.7,10.3,lt35,<M35,#93C5FD
DT1-1579,DT1,1579,1B,11,58,SARH,Duplex Villa,DT1,15,7.4,7.6,lt35,<M35,#93C5FD
DT1-1660,DT1,1660,1B,12,62,SARH,Duplex Villa,DT1,13.7,3.2,10.5,lt35,<M35,#93C5FD
DT1-1586,DT1,1586,1B,12,63,SARH,Duplex Villa,DT1,14,3.7,10.3,lt35,<M35,#93C5FD
DT1-1889,DT1,1889,1B,7,39,SARH,Duplex Villa,DT1,13.7,21.8,-8.1,lt35,<M35,#93C5FD
DT1-1558,DT1,1558,1B,10,54,SARH,Duplex Villa,DT1,15,16.9,-1.9,lt35,<M35,#93C5FD
DT1-1973,DT1,1973,1B,8,43,SARH,Duplex Villa,DT1,12.1,11.5,0.6,lt35,<M35,#93C5FD
DT1-1765,DT1,1765,1B,7,40,SARH,Duplex Villa,DT1,13.2,15.1,-1.9,lt35,<M35,#93C5FD
DT1-1899,DT1,1899,1B,6,30,SARH,Duplex Villa,DT1,50.4,28.8,21.6,ms50,M50,#FACC15
TH1-1917,TH1,1917,1B,7,37,SARH,Townhouse,TH1,28.4,20.2,8.2,lt35,<M35,#93C5FD
DT1-1969,DT1,1969,1B,9,46,SARH,Duplex Villa,DT1,14.3,11.5,2.8,lt35,<M35,#93C5FD
DT1-1898,DT1,1898,1B,6,30,SARH,Duplex Villa,DT1,50.7,28.9,21.8,ms50,M50,#FACC15
DT1-1766,DT1,1766,1B,7,40,SARH,Duplex Villa,DT1,13.2,15,-1.8,lt35,<M35,#93C5FD
DT1-1578,DT1,1578,1B,11,58,SARH,Duplex Villa,DT1,15.1,7.4,7.7,lt35,<M35,#93C5FD
