code,model,plot,zone,batch,block,contractor,unitType,typology,actual,planned,variance,band,label,color
DP4-2131,DP4,2131,1A,4,21,SARH,Duplex Villa,DP4,13.3,36,-22.7,lt35,<M35,#93C5FD
DP4-2046,DP4,2046,1A,4,19,SARH,Duplex Villa,DP4,13.9,22.4,-8.5,lt35,<M35,#93C5FD
DP4-2130,DP4,2130,1A,4,21,SARH,Duplex Villa,DP4,13.3,36,-22.7,lt35,<M35,#93C5FD
DP4-2101,DP4,2101,1A,5,27,SARH,Duplex Villa,DP4,14.6,29.4,-14.8,lt35,<M35,#93C5FD
DP4-2238,DP4,2238,1A,2,6,SARH,Duplex Villa,DP4,54.2,56.9,-2.7,ms50,M50,#FACC15
DP4-1994,DP4,1994,1A,3,15,SARH,Duplex Villa,DP4,13.9,43.3,-29.4,lt35,<M35,#93C5FD
DP4-2146,DP4,2146,1A,4,17,SARH,Duplex Villa,DP4,14,26.8,-12.8,lt35,<M35,#93C5FD
DP4-2239,DP4,2239,1A,2,6,SARH,Duplex Villa,DP4,53.8,56.9,-3.1,ms50,M50,#FACC15
DP4-2052,DP4,2052,1A,3,11,SARH,Duplex Villa,DP4,48.8,52.8,-4,ms35,M35,#3B82F6
DP4-1986,DP4,1986,1A,3,15,SARH,Duplex Villa,DP4,20.7,43.3,-22.6,lt35,<M35,#93C5FD
DP4-2182,DP4,2182,1A,5,25,SARH,Duplex Villa,DP4,13.1,28.1,-15,lt35,<M35,#93C5FD
DP4-2181,DP4,2181,1A,5,25,SARH,Duplex Villa,DP4,13.1,28.1,-15,lt35,<M35,#93C5FD
DP4-1995,DP4,1995,1A,3,15,SARH,Duplex Villa,DP4,15.7,43.3,-27.6,lt35,<M35,#93C5FD
DP4-2137,DP4,2137,1A,4,21,SARH,Duplex Villa,DP4,13.3,36,-22.7,lt35,<M35,#93C5FD
DP4-2129,DP4,2129,1A,4,17,SARH,Duplex Villa,DP4,20.4,26.8,-6.4,lt35,<M35,#93C5FD
DP4-2050,DP4,2050,1A,3,11,SARH,Duplex Villa,DP4,45.7,52.8,-7.1,ms35,M35,#3B82F6
DP4-2128,DP4,2128,1A,4,17,SARH,Duplex Villa,DP4,21.1,26.8,-5.7,lt35,<M35,#93C5FD
DP4-2056,DP4,2056,1A,3,11,SARH,Duplex Villa,DP4,31.1,52.8,-21.7,lt35,<M35,#93C5FD
DP4-1993,DP4,1993,1A,3,15,SARH,Duplex Villa,DP4,13.9,43.3,-29.4,lt35,<M35,#93C5FD
